datetime,open,high,low,close,volume,MACD,SIGNAL,RSI_14,ATR,trade_type,signals
2018-01-01 05:30:00,13715.65,13818.55,12750.0,13380.0,8609.915844,0.0,0.0,,,HOLD,0
2018-01-02 05:30:00,13382.16,15473.49,12890.02,14675.11,20078.092111,103.3136182336184,20.66272364672368,100.0,,HOLD,0
2018-01-03 05:30:00,14690.0,15307.56,14150.0,14919.51,15905.667639,202.57626934846303,57.04543278707155,100.0,,HOLD,0
2018-01-04 05:30:00,14919.51,15280.0,13918.04,15059.54,21329.649574,289.20807555697866,103.47796134105297,100.0,,HOLD,0
2018-01-05 05:30:00,15059.56,17176.24,14600.0,16960.39,23251.491125,505.4209371100078,183.86655649484396,100.0,,HOLD,0
2018-01-06 05:30:00,16960.39,17143.13,16011.21,17069.79,18571.457508,677.7857609807852,282.65039739203223,100.0,,HOLD,0
2018-01-07 05:30:00,17069.79,17099.96,15610.0,16150.03,12493.125558,731.7342040592503,372.4671587254759,76.09930976206587,,HOLD,0
2018-01-08 05:30:00,16218.85,16322.3,12812.0,14902.54,26600.609912,666.1477796442668,431.2032829092341,56.40720081508362,,HOLD,0
2018-01-09 05:30:00,14902.54,15500.0,14011.05,14400.0,14315.004253,567.0823157334471,458.3790894740767,50.71398678219141,,HOLD,0
2018-01-10 05:30:00,14401.0,14955.66,13131.31,14907.09,17411.001655,523.4560711795748,471.3944858151763,55.58532764339986,,HOLD,0
2018-01-11 05:30:00,14940.0,14968.68,11400.0,13238.78,33554.723751,350.22609529059264,447.16080771025963,41.168584636597544,,HOLD,0
2018-01-12 05:30:00,13238.76,14109.78,12500.0,13740.01,16417.162137,250.49758318052773,407.82816280431325,45.72334031884331,,HOLD,0
2018-01-13 05:30:00,13749.95,14580.0,13706.15,14210.0,12221.508528,207.00011547970098,367.6625533393908,49.65896918971622,,HOLD,0
2018-01-14 05:30:00,14210.0,14339.5,12569.2,13474.99,17017.894329,111.92865086532584,316.5157728445778,44.25455841925211,1858.2764285714288,HOLD,0
2018-01-15 05:30:00,13477.98,14249.99,13147.79,13539.93,14652.094705,41.34731931998431,261.4820821396591,44.825891921952845,1860.68,HOLD,0
2018-01-16 05:30:00,13500.0,13542.93,9035.0,10900.0,63401.169175,-225.0153457861379,164.1825965544997,30.942390596357825,1998.1414285714288,HOLD,0
2018-01-17 05:30:00,10899.99,11680.99,9037.94,10988.79,72331.796646,-424.05680311103424,46.5347166213929,31.70850393070141,2104.2478571428574,HOLD,0
2018-01-18 05:30:00,10972.59,11878.82,10435.33,10961.97,48464.434937,-577.307895851498,-78.23380587318528,31.59448625590194,2110.0714285714284,HOLD,0
2018-01-19 05:30:00,10960.0,11795.0,10360.0,11474.98,34129.375421,-649.8735338008464,-192.5617514587175,36.31192522090688,2028.554285714286,HOLD,0
2018-01-20 05:30:00,11474.98,13099.0,11412.45,12799.94,28768.857827,-593.6261728346562,-272.77463573390526,46.56199926112003,2068.1707142857144,HOLD,0
2018-01-21 05:30:00,12799.8,12799.8,10965.0,11530.0,41379.773426,-644.0985119883862,-347.03941098480146,39.92883647723665,2092.8121428571426,HOLD,0
2018-01-22 05:30:00,11530.0,11926.35,9900.24,10760.05,43752.606791,-737.7227262884498,-425.1760740455312,36.53091319900965,1986.7985714285714,HOLD,0
2018-01-23 05:30:00,10760.05,11399.0,9905.0,10799.18,37473.922552,-799.546452862136,-500.0501498088522,36.82515414792994,1987.1592857142857,HOLD,0
2018-01-24 05:30:00,10799.14,11570.48,10500.0,11349.99,27158.587762,-794.9329457291315,-559.0267089929081,40.9734070954707,1933.3114285714285,HOLD,0
2018-01-25 05:30:00,11349.96,11794.05,10950.21,11175.27,20839.954183,-796.197087482713,-606.4607846908691,40.07450034094303,1738.68,HOLD,0
2018-01-26 05:30:00,11184.7,11643.0,10311.15,11089.0,33056.87196,-794.9959781730358,-644.1678233873025,39.612390226587415,1718.8278571428568,HOLD,0
2018-01-27 05:30:00,11089.0,11650.0,10842.69,11491.0,18860.768345,-752.9267788201778,-665.9196144738776,42.91566889573337,1714.075,HOLD,0
2018-01-28 05:30:00,11499.98,12244.0,11408.0,11879.95,16887.339524,-680.358867317851,-668.8074650426723,45.99384215114275,1647.3392857142858,HOLD,0
2018-01-29 05:30:00,11879.95,11975.02,11139.55,11251.0,14170.377538,-665.9229381656842,-668.2305596672747,42.04560044329605,1628.287142857143,HOLD,0
